ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
ID346,2,3,4,3,3,2,2,3,3,2
ID347,1,2,2,1,4,3,2,4,2,1
ID348,2,3,2,1,3,2,3,4,3,2
ID349,1,3,3,1,3,3,3,4,4,2
ID350,1,3,2,1,3,2,3,4,2,2
ID351,2,2,2,2,2,1,2,3,2,2
ID352,1,1,1,1,4,1,2,3,2,1
ID353,1,3,3,1,2,2,2,3,2,2
ID354,2,3,3,1,2,3,2,3,2,2
ID355,1,2,2,2,2,2,2,3,2,1
ID356,1,1,1,1,3,1,1,3,1,1
ID357,2,2,2,2,3,2,2,4,2,2
ID358,1,2,2,2,4,2,3,4,3,1
ID359,1,1,2,1,3,2,2,3,3,2
ID360,2,3,3,1,2,2,2,3,3,2
ID361,2,2,2,2,3,2,2,3,3,2
ID362,1,3,3,3,3,3,2,2,3,2
ID363,1,2,3,1,4,2,2,4,3,1
ID364,1,2,1,3,4,1,2,4,3,1
ID365,1,4,4,1,3,3,3,3,3,2
ID366,2,2,3,3,3,2,2,3,3,2
ID367,1,2,2,2,3,2,3,4,2,2
ID368,2,3,3,3,3,3,1,2,3,2
ID369,2,2,2,3,2,2,2,3,2,2
ID370,1,3,2,1,4,3,4,4,2,1
ID371,1,1,1,1,1,1,1,3,2,1
ID372,2,2,2,2,3,2,2,4,3,2
ID373,2,2,2,2,2,2,1,4,4,1
ID374,1,3,2,2,2,2,1,4,3,2
ID375,1,3,3,1,3,3,2,3,2,1
ID376,1,2,2,1,3,3,3,3,4,1
ID377,1,1,1,1,3,1,1,3,2,1
ID378,2,2,3,2,3,1,3,4,3,1
ID379,1,3,3,3,3,2,2,3,3,2
ID380,1,1,1,1,4,1,3,3,2,1
ID381,2,1,2,3,3,3,2,3,3,2
ID382,1,3,3,3,1,1,1,3,1,1
ID383,1,3,2,1,3,2,2,4,2,1
ID384,2,2,2,1,2,2,2,4,2,1
ID385,1,2,2,1,2,1,1,3,1,1
ID386,1,2,1,2,1,1,1,2,1,1
ID387,2,2,2,2,2,2,1,3,3,1
ID388,1,3,3,3,2,3,2,3,3,2
ID389,2,2,1,3,3,3,2,4,2,2
ID390,2,1,2,2,3,2,4,4,3,1
ID391,1,3,3,2,3,2,2,3,3,2
ID392,2,3,3,1,3,3,2,3,3,2
ID393,1,3,3,1,3,1,1,3,1,1
ID394,1,3,3,3,3,3,3,3,3,2
ID395,1,3,2,3,3,2,4,4,4,1
ID396,1,3,3,3,2,3,2,2,3,2
ID397,2,2,2,3,3,2,2,3,2,2
ID398,1,4,4,3,4,4,3,4,3,1
ID399,1,3,2,1,3,3,3,3,2,1
ID400,2,2,2,2,3,2,2,4,2,2
ID401,2,3,3,2,3,2,3,2,4,3
ID402,2,2,2,3,2,2,2,3,2,2
ID403,1,1,1,2,1,1,2,3,2,1
ID404,2,2,1,3,3,2,2,4,2,2
ID405,1,2,3,1,4,2,2,4,1,1
ID406,1,2,2,3,2,2,2,3,3,2
ID407,2,1,2,3,2,2,1,3,1,1
ID408,1,3,2,2,3,2,3,4,3,3
ID409,1,3,3,1,3,3,3,4,3,1
ID410,1,3,3,1,2,3,2,3,4,2
ID411,1,3,2,3,3,1,1,3,3,3
ID412,1,2,3,1,4,2,2,4,3,2
ID413,1,2,2,1,3,2,2,2,2,2
ID414,1,3,3,1,3,2,2,4,1,1
ID415,1,2,3,1,3,2,2,3,2,2
ID416,1,2,1,1,3,2,2,3,2,1
ID417,1,2,2,1,3,2,2,3,3,2
ID418,1,2,3,3,3,3,2,4,3,1
ID419,2,3,4,3,2,3,2,3,3,2
ID420,1,1,2,3,3,1,1,3,2,2
ID421,2,2,2,2,2,1,1,4,4,2
ID422,1,2,2,4,1,1,1,3,1,2
ID423,1,2,2,1,3,2,2,4,3,1
ID424,2,2,2,2,1,3,3,3,4,2
ID425,2,3,2,2,2,3,2,3,2,2
ID426,1,3,2,1,1,3,3,3,2,2
ID427,2,2,3,4,3,1,3,3,3,2
ID428,1,2,1,2,3,3,2,3,2,1
ID429,2,3,2,2,3,3,2,4,4,2
ID430,2,1,2,2,2,2,2,3,3,2
ID431,1,2,2,2,3,2,2,4,1,1
ID432,1,4,3,1,3,3,4,4,4,1
ID433,1,2,2,2,3,1,3,4,3,1
ID434,1,3,3,3,1,3,3,2,3,2
ID435,2,2,2,2,3,2,2,4,4,2
ID436,1,3,2,1,2,1,1,4,2,1
ID437,1,2,2,2,2,2,2,4,2,2
ID438,1,3,2,2,3,2,3,4,3,1
ID439,1,4,4,3,1,3,3,4,4,2
ID440,1,2,3,4,2,1,3,2,1,3
ID441,2,3,3,1,2,2,2,3,2,2
ID442,1,2,2,3,3,2,1,3,2,2
ID443,1,2,2,3,2,2,3,3,1,2
ID444,2,2,2,3,2,2,3,2,3,3
ID445,1,2,2,1,4,2,2,3,2,1
ID446,1,3,3,1,3,3,3,4,3,1
ID447,2,2,3,3,3,2,2,3,2,2
ID448,1,3,3,1,3,2,2,3,3,2
ID449,1,4,4,3,3,3,4,2,4,3
ID450,1,2,2,3,2,1,2,2,2,2
ID451,1,3,4,1,4,3,4,4,4,2
ID452,2,3,3,3,3,3,2,3,2,2
ID453,2,2,2,2,2,2,2,3,2,1
ID454,1,3,3,2,2,3,2,4,3,1
ID455,1,3,2,2,2,3,2,2,3,2
ID456,1,2,3,1,3,3,3,3,2,2
ID457,1,2,2,1,2,2,2,3,3,1
ID458,1,3,1,1,4,4,3,3,2,2
ID459,1,2,3,1,2,2,2,3,2,1
ID460,1,2,2,2,2,1,2,4,3,1
ID461,1,3,3,3,2,3,3,3,3,2
ID462,1,1,2,3,3,2,2,3,1,1
ID463,2,3,2,1,2,2,2,3,2,1
ID464,1,3,3,3,2,2,2,2,2,2
ID465,1,3,2,2,2,2,2,4,2,2
ID466,2,2,2,1,2,2,2,3,2,1
ID467,1,2,2,1,3,2,2,3,2,1
ID468,1,3,3,1,3,2,2,4,4,1
ID469,2,3,3,2,3,3,3,3,2,2
ID470,2,2,2,3,2,2,2,3,2,2
ID471,2,3,2,3,3,2,2,1,2,2
ID472,1,3,3,1,4,2,4,3,3,2
ID473,1,3,4,3,1,3,4,4,3,2
ID474,1,2,4,3,4,2,1,3,2,1
ID475,1,3,3,1,3,3,2,3,3,2
ID476,1,2,2,1,3,2,2,3,2,2
ID477,1,2,2,3,3,2,2,4,2,2
ID478,2,2,2,2,4,2,2,3,2,1
ID479,1,2,2,2,3,3,2,3,3,1
ID480,2,3,2,2,2,2,2,2,3,2
ID481,1,3,2,2,3,2,2,3,3,1
ID482,2,3,2,2,2,2,3,3,3,2
ID483,1,3,3,3,1,2,2,4,1,1
ID484,2,2,2,1,3,2,2,3,2,2
ID485,2,4,4,2,3,3,3,4,4,2
ID486,2,2,2,2,3,3,3,2,3,2
ID487,1,2,2,3,2,2,1,3,1,1
ID488,2,3,2,3,2,3,2,3,2,2
ID489,1,2,3,1,2,2,3,4,2,1
ID490,2,4,4,3,3,3,3,3,3,2
ID491,1,3,2,2,1,1,2,3,3,2
ID492,1,3,3,4,3,2,3,4,2,2
ID493,1,3,3,1,4,3,3,4,4,1
ID494,2,3,3,2,3,3,3,2,2,2
ID495,1,3,3,2,3,3,3,4,2,2
ID496,1,2,2,1,3,2,3,4,2,1
ID497,2,3,2,3,3,3,2,4,3,2
ID498,1,3,3,2,3,3,3,3,4,2
ID499,2,4,4,2,2,4,2,3,3,2
ID500,2,2,2,1,4,2,2,4,2,2
ID501,1,3,3,3,4,2,3,3,3,1
ID502,1,4,4,1,1,3,4,3,2,2
ID503,1,1,2,1,4,1,2,2,2,1
ID504,1,3,2,2,2,2,2,4,2,1
ID505,1,2,2,1,4,1,3,4,3,1
ID506,1,2,2,2,3,2,2,2,2,2
ID507,2,2,3,2,2,2,2,3,3,1
ID508,1,1,3,3,2,2,2,3,2,2
ID509,1,4,2,3,2,2,2,3,3,2
ID510,2,4,4,3,2,4,4,3,3,2
ID511,1,2,2,2,2,1,2,4,3,1
ID512,1,2,2,1,2,2,2,4,3,1
ID513,1,1,2,1,2,2,2,2,2,1
ID514,1,2,1,1,1,1,1,2,2,1
ID515,2,3,2,3,2,2,4,2,3,2
ID516,1,2,2,2,4,2,2,3,2,1
ID517,2,3,3,2,3,3,3,4,3,2
ID518,2,3,3,1,3,2,3,4,3,1
